name,slug,value,date_of_information,ranking,region
Afghanistan,afghanistan,"$82,595,000,000",2023,104,South Asia
Albania,albania,"$50,098,000,000",2023,126,Europe
Algeria,algeria,"$699,818,000,000",2023,40,Africa
American Samoa,american-samoa,"$658,000,000",2016,212,Australia and Oceania
Andorra,andorra,"$5,226,000,000",2023,184,Europe
Angola,angola,"$266,249,000,000",2023,65,Africa
Antigua and Barbuda,antigua-and-barbuda,"$2,703,000,000",2023,197,Central America and the Caribbean
Argentina,argentina,"$1,234,000,000,000",2023,28,South America
Armenia,armenia,"$57,516,000,000",2023,116,Middle East
Aruba,aruba,"$4,350,000,000",2023,189,Central America and the Caribbean
Australia,australia,"$1,588,000,000,000",2023,20,Australia and Oceania
Austria,austria,"$593,703,000,000",2023,43,Europe
Azerbaijan,azerbaijan,"$215,896,000,000",2023,74,Middle East
"Bahamas, The",bahamas-the,"$13,224,000,000",2023,160,Central America and the Caribbean
Bahrain,bahrain,"$90,228,000,000",2023,101,Middle East
Bangladesh,bangladesh,"$1,413,000,000,000",2023,23,South Asia
Barbados,barbados,"$5,428,000,000",2023,183,Central America and the Caribbean
Belarus,belarus,"$254,407,000,000",2023,69,Europe
Belgium,belgium,"$756,586,000,000",2023,35,Europe
Belize,belize,"$5,120,000,000",2023,185,Central America and the Caribbean
Benin,benin,"$52,510,000,000",2023,122,Africa
Bermuda,bermuda,"$6,343,000,000",2023,174,North America
Bhutan,bhutan,"$10,981,000,000",2022,166,South Asia
Bolivia,bolivia,"$120,531,000,000",2023,93,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,"$64,104,000,000",2023,114,Europe
Botswana,botswana,"$46,743,000,000",2023,128,Africa
Brazil,brazil,"$4,016,000,000,000",2023,7,South America
British Virgin Islands,british-virgin-islands,"$500,000,000",2017,213,Central America and the Caribbean
Brunei,brunei,"$35,260,000,000",2023,141,East and Southeast Asia
Bulgaria,bulgaria,"$215,338,000,000",2023,75,Europe
Burkina Faso,burkina-faso,"$57,152,000,000",2023,117,Africa
Burma,burma,"$290,381,000,000",2023,62,East and Southeast Asia
Burundi,burundi,"$11,347,000,000",2023,165,Africa
Cabo Verde,cabo-verde,"$4,852,000,000",2023,188,Africa
Cambodia,cambodia,"$116,576,000,000",2023,94,East and Southeast Asia
Cameroon,cameroon,"$138,191,000,000",2023,85,Africa
Canada,canada,"$2,242,000,000,000",2023,16,North America
Cayman Islands,cayman-islands,"$5,705,000,000",2023,179,Central America and the Caribbean
Central African Republic,central-african-republic,"$5,849,000,000",2023,177,Africa
Chad,chad,"$32,446,000,000",2023,146,Africa
Chile,chile,"$579,201,000,000",2023,44,South America
China,china,"$31,230,000,000,000",2023,1,East and Southeast Asia
Colombia,colombia,"$978,007,000,000",2023,32,South America
Comoros,comoros,"$2,975,000,000",2023,196,Africa
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,"$154,012,000,000",2023,82,Africa
"Congo, Republic of the",congo-republic-of-the,"$38,163,000,000",2023,140,Africa
Cook Islands,cook-islands,"$266,000,000",2022,217,Australia and Oceania
Costa Rica,costa-rica,"$134,238,000,000",2023,89,Central America and the Caribbean
Cote d'Ivoire,cote-divoire,"$202,119,000,000",2023,77,Africa
Croatia,croatia,"$158,698,000,000",2023,81,Europe
Cuba,cuba,"$137,000,000,000",2017,87,Central America and the Caribbean
Curacao,curacao,"$4,271,000,000",2023,190,Central America and the Caribbean
Cyprus,cyprus,"$49,526,000,000",2023,127,Europe
Czechia,czechia,"$539,737,000,000",2023,47,Europe
Denmark,denmark,"$428,759,000,000",2023,53,Europe
Djibouti,djibouti,"$7,380,000,000",2023,172,Africa
Dominica,dominica,"$1,159,000,000",2023,208,Central America and the Caribbean
Dominican Republic,dominican-republic,"$261,616,000,000",2023,66,Central America and the Caribbean
Ecuador,ecuador,"$260,213,000,000",2023,67,South America
Egypt,egypt,"$1,912,000,000,000",2023,17,Africa
El Salvador,el-salvador,"$71,957,000,000",2023,108,Central America and the Caribbean
Equatorial Guinea,equatorial-guinea,"$28,985,000,000",2023,150,Africa
Eritrea,eritrea,"$9,702,000,000",2017,168,Africa
Estonia,estonia,"$58,199,000,000",2023,115,Europe
Eswatini,eswatini,"$12,468,000,000",2023,162,Africa
Ethiopia,ethiopia,"$354,604,000,000",2023,57,Africa
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,"$206,400,000",2015,220,South America
Faroe Islands,faroe-islands,"$3,834,000,000",2023,193,Europe
Fiji,fiji,"$12,617,000,000",2023,161,Australia and Oceania
Finland,finland,"$318,638,000,000",2023,59,Europe
France,france,"$3,786,000,000,000",2023,9,Europe
French Polynesia,french-polynesia,"$5,650,000,000",2021,180,Australia and Oceania
Gabon,gabon,"$46,472,000,000",2023,129,Africa
"Gambia, The",gambia-the,"$7,911,000,000",2023,170,Africa
Gaza Strip,gaza-strip,"$27,446,000,000",2023,152,Middle East
Georgia,georgia,"$83,935,000,000",2023,103,Middle East
Germany,germany,"$5,295,000,000,000",2023,6,Europe
Ghana,ghana,"$229,639,000,000",2023,71,Africa
Gibraltar,gibraltar,"$2,044,000,000",2014,199,Europe
Greece,greece,"$384,023,000,000",2023,55,Europe
Greenland,greenland,"$3,857,000,000",2021,192,North America
Grenada,grenada,"$1,984,000,000",2023,201,Central America and the Caribbean
Guam,guam,"$5,793,000,000",2016,178,Australia and Oceania
Guatemala,guatemala,"$224,556,000,000",2023,73,Central America and the Caribbean
Guernsey,guernsey,"$3,465,000,000",2015,195,Europe
Guinea,guinea,"$56,892,000,000",2023,119,Africa
Guinea-Bissau,guinea-bissau,"$5,553,000,000",2023,182,Africa
Guyana,guyana,"$40,752,000,000",2023,137,South America
Haiti,haiti,"$34,406,000,000",2023,143,Central America and the Caribbean
Honduras,honduras,"$68,854,000,000",2023,111,Central America and the Caribbean
Hong Kong,hong-kong,"$485,834,000,000",2023,50,East and Southeast Asia
Hungary,hungary,"$388,906,000,000",2023,54,Europe
Iceland,iceland,"$26,455,000,000",2023,153,Europe
India,india,"$13,173,000,000,000",2023,3,South Asia
India,india,10,2023,1,South Asia
Indonesia,indonesia,"$3,906,000,000,000",2023,8,East and Southeast Asia
Iran,iran,"$1,442,000,000,000",2023,22,Middle East
Iraq,iraq,"$572,939,000,000",2023,45,Middle East
Ireland,ireland,"$609,962,000,000",2023,42,Europe
Isle of Man,isle-of-man,"$6,792,000,000",2015,173,Europe
Israel,israel,"$472,533,000,000",2023,51,Middle East
Italy,italy,"$3,145,000,000,000",2023,11,Europe
Jamaica,jamaica,"$29,225,000,000",2023,149,Central America and the Caribbean
Japan,japan,"$5,747,000,000,000",2023,5,East and Southeast Asia
Jersey,jersey,"$5,569,000,000",2016,181,Europe
Jordan,jordan,"$107,101,000,000",2023,96,Middle East
Kazakhstan,kazakhstan,"$705,520,000,000",2023,39,Central Asia
Kenya,kenya,"$314,491,000,000",2023,60,Africa
